word,phonetic_symbol,word_attr,meanings,en_sentence1,cn_sentence1,en_sentence2,cn_sentence2,en_sentence3,cn_sentence3
body,"英 [ˈbɒdi], 美 [ˈbɑdi]","n.,vt.","身体；尸体；团体；物体,赋予形体；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The largest organ in the body is the liver.,人体最大的器官是肝脏。,"Lying flat on the floor, twist your body on to one hip and cross your upper leg over your body.",平躺在地板上，屈体侧躺，把上面的一条腿搭在身上。,Officials said they had found no traces of violence on the body of the politician.,官员称他们没有在这位政治家的尸体上发现暴力侵犯的痕迹。
hope,"英 [həʊp], 美 [hoʊp]","n.,vt.& vi.,vt.,vi.","希望，期望；希望的东西；被寄予希望的人或事物、情况；抱有希望的理由,希望，期望；,[俚语]相信，认为；,希望，盼望，期待；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","She had decided she must go on as usual, follow her normal routine, and hope and pray...",她打定主意必须像平时一样生活，遵循自己通常的作息规律，同时怀抱希望、虔诚祈祷。,"He hesitates before leaving, almost as though he had been hoping for conversation...",他离开前有些犹豫，几乎像是他一直期望能够交谈点什么。,"Things aren't ideal, but that's the best you can hope for...",事情并不理想，但你只能指望这样了。
ever,"英 [ˈevə(r)], 美 [ˈɛvɚ]",adv.,永远；曾经，这以前；究竟，到底；可能,I'm not sure I'll ever trust people again...,我不确定自己是否还会再相信任何人。,Neither of us had ever skied...,我们两个都从未滑过雪。,Have you ever seen anything like it?...,你可曾见过像它这样的东西？
example,"英 [ɪgˈzɑ:mpl], 美 [ɪgˈzæmpl]","n.,vt.,vi.","例子；榜样；范例；先例,作为…的例子；为…做出榜样；,举例；作为…的示范；,复数：
                                                            ",The doctors gave numerous examples of patients being expelled from hospital...,医生们列举了大量病人被逐出医院的实例。,Listed below are just a few examples of some of the family benefits available.,下面仅例举了家庭可享受的几种福利。,Symphonies 103 and 104 stand as perfect examples of early symphonic construction...,第103和104号交响曲是早期交响乐结构的典型代表。
least,"英 [li:st], 美 [list]","adj.,adv.,n.","最小的；最少的（ little的最高级）；最不重要的，地位最低的；,最少，最小；,最小；最少量；",...a dinner menu featuring at least 15 different sorts of fish...,至少列有15道不同做法的鱼的菜单,Aim to have at least half a pint of milk each day...,目标是每天至少喝半品脱的牛奶。,She could take a nice holiday at least...,最不济她也可以去过一个愉快的假期。
inform,"英 [ɪnˈfɔ:m], 美 [ɪnˈfɔrm]","vt.,vi.","通知；使活跃，使充满；预示；,通知；告发；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",They would inform him of any progress they had made...,他们会把他们取得的任何进步都告诉他。,My daughter informed me that she was pregnant...,我女儿告诉我她怀孕了。,Somebody must have informed on us...,肯定有人告发我们了。
probable,"英 [ˈprɒbəbl], 美 [ˈprɑbəbl]","adj.,n.","可能的；大概的；,很可能的事；可能入选者；,复数：
                                                            ",It is probable that the medication will suppress the symptom without treating the condition...,这种药物有可能治标不治本。,She does not want to be taken to an optician with the probable result of having to wear glasses...,她不想被带去验光，因为结果可能是她必须配戴眼镜。,"The Socialists united behind their probable presidential candidate, Michel Rocard.",社会党人团结在他们很有希望当选的总统候选人米歇尔·罗卡尔周围。
idea,"英 [aɪˈdɪə], 美 [aɪˈdiə]",n.,"主意，想法；[哲]理念，观念；[乐]乐句；模糊想法,复数：
                                                            ",It's a good idea to plan ahead...,提前做计划是个好主意。,I really like the idea of helping people...,我非常赞同帮助他人的提议。,Some of his ideas about democracy are entirely his own.,他关于民主的一些观点完全是他自己的创见。
understand,"英 [ˌʌndəˈstænd], 美 [ˌʌndərˈstænd]","vt.& vi.,vt.","懂，理解；,了解；默认；听说；领会,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",I think you heard and also understand me...,我想你听到了我的话，也明白我的意思。,Rusty nodded as though she understood the old woman...,拉斯蒂点点头，好像听懂了那位老妇人的话似的。,"I couldn't read or understand a word of Yiddish, so I asked him to translate.",我根本不懂意第绪语，所以请他来翻译。
reach,"英 [ri:tʃ], 美 [ritʃ]","v.,n.","到达，走到；够…，抓…；完成；,手脚能够到的范围；范围，区域；影响的范围，管辖的范围；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He did not stop until he reached the door...,他走到门边才停下。,"When the bus reached High Holborn, Tony rang the bell and they jumped off together...",当公交车到达海霍尔本站时，托尼摇响了铃，他们一起跳下了车。,The process of political change in South Africa has reached the stage where it is irreversible...,南非的政治变革已达到不可逆转的地步。
different,"英 [ˈdɪfrənt], 美 [ˈdɪfrənt]",adj.,不同的；各式各样的；个别的；不平常,London was different from most European capitals...,伦敦同大多数欧洲国家的首都都有所不同。,"If he'd attended music school, how might things have been different?...",如果他上过音乐学校，事情会有怎样的不同呢？,Different countries specialised in different products...,不同国家专门生产不同的产品。
effect,"英 [ɪˈfekt], 美 [ɪˈfɛkt]","n.,vt.","影响；效果；印象；所有物,使发生；引起；产生（效果）；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Parents worry about the effect of music on their adolescent's behavior...,父母担心音乐对青春期孩子的行为所产生的影响。,The austerity measures will have little immediate adverse effect on the average Moroccan...,财政紧缩政策不会对普通的摩洛哥人产生直接的负面影响。,"The whole effect is cool, light and airy.",整体效果很酷，轻松而随意。
condition,"英 [kənˈdɪʃn], 美 [kənˈdɪʃən]","n.,vt.,vt.& vi.","状态；环境；健康状况；条款,制约；限制；使习惯于；使适应,对…具有重要影响；影响（某事发生的方式）；保持（头发或皮肤等的）健康；养护,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He remains in a critical condition in a California hospital...,他在加州的一家医院里，病情仍然十分危急。,I received several compliments on the condition of my skin...,好几个人夸我的皮肤保养得好。,This change has been timed under laboratory conditions...,在实验室条件下测得了这一变化所需的时间。
control,"英 [kənˈtrəʊl], 美 [kənˈtroʊl]","vt.,n.","控制；管理；限制；支配,支配权；操纵者；（对国家、地区、机构等的）管理权；（键盘上的）控制键,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The restructuring involves Mr Ronson giving up control of the company...,这次改组涉及龙森先生放弃对公司的控制权。,The first aim of his government would be to establish control over the republic's territory.,他这届政府的首要目标是确立对共和国领土的控制权。,He lost control of his car...,他的汽车失控了。
pass,"英 [pɑ:s], 美 [pæs]","vt.& vi.,vt.,n.","走过；通过；批准；度过,传球；及格；发生；不要,通道；通行证；关口；越过,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","As she passed the library door, the telephone began to ring...",她经过图书室门口时，电话响了。,Jane stood aside to let her pass...,简站到一边让她过去。,He passed through the doorway into Ward B...,他穿过门口进入B病房。
whole,"英 [həʊl], 美 [hoʊl]","adj.,n.","全部的，所有的；完整的；,整体，整个；全部；,复数：
                                                            ",He has said he will make an apology to the whole of Asia for his country's past behaviour...,他已表示要为自己国家过去的行径向全亚洲道歉。,I was cold throughout the whole of my body.,我浑身上下都觉得冷。,"An atom itself is a complete whole, with its electrons, protons and neutrons and other elements...",一个原子本身就是一个完整的整体，包括电子、质子、中子及其他元素。
often,,,,,,,,,
reason,,,,,,,,,
fall,"英 [fɔ:l], 美 [fɔl]","v.,n.","落下；跌倒；减少；沦陷,落下；瀑布；秋天；减少,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Her father fell into the sea after a massive heart attack...,她父亲在一次严重的心脏病发作后坠入海中。,Prince Charles has again fallen from his horse...,查尔斯王子又一次从马上摔了下来。,The woman gripped the shoulders of her man to stop herself from falling...,这个女人抓住丈夫的肩膀，以免摔倒。
field,"英 [fi:ld], 美 [fild]","n.,vi.,adj.,vt.","田；（作某种用途的）场地；（学习或研究的）领域；运动场,[棒球、板球等]担任外场员，担任守队队员；接守，接防；接，掷还（球）；,实地的；[体育]1)。 在田赛场地进行的2)。 田赛的；军事]野战的；在实地工作的,保护；把（农作物等）晒在场上；[棒球、板球等]按（或截）（球）；即席圆满回答,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...a field of wheat...,麦田,They went for walks together in the fields.,他们一起在田野里漫步。,...a football field...,足球场
talk,"英 [tɔ:k], 美 [tɔk]","v.,n.","说话；讨论；讲，说；说闲话,交谈；讨论；报告；空话,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He was too distressed to talk...,他伤心得讲不出话来。,A teacher reprimanded a girl for talking in class...,老师斥责了一个在课堂上说话的女生。,We talked and laughed a great deal...,我们说笑了很久。
note,"英 [nəʊt], 美 [noʊt]","n.,vt.","笔记；便笺；音符；钞票,注意；记录；对…加注释；指出,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Stevens wrote him a note asking him to come to his apartment...,史蒂文斯给他写了张便条，请他去自己的公寓。,I'll  have to leave a note for Karen.,我得给卡伦留张便条。,I knew that if I didn't make a note I would lose the thought so I asked to borrow a pen or pencil...,我知道如果我不把这个想法记下来就会忘记，所以我找人借了支笔。
particular,"英 [pəˈtɪkjələ(r)], 美 [pərˈtɪkjələ(r)]","adj.,n.","特别的；详细的；独有的；挑剔的,特色，特点；（可分类，列举的）项目；详细情节，细情，细目；某一事项,复数：
                                                            ",I remembered a particular story about a postman who was a murderer...,我记得有个故事，讲的是一个邮递员杀人的事情。,I have to know exactly why it is I'm doing a particular job.,我必须明确知道我为什么要做特定的一项工作。,I have a particular responsibility to ensure I make the right decision...,我肩负特殊责任，必须确保自己作出的决定是正确的。
measure,"英 [ˈmeʒə(r)], 美 [ˈmɛʒɚ]","n.,vt.,vi.","测量，测度；措施；程度；尺寸,测量；估量；,测量；测量（大小，容量，尺寸等）；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",I continued to measure his progress against the charts in the doctor's office...,我继续比照医生办公室里的图表来判断他病情的发展。,A grammar school's success was measured in terms of the number of pupils who got into university...,一所文法学校成功与否是以考上大学的学生人数为衡量依据的。,Measure the length and width of the gap...,测量一下这条缝隙的长与宽。
today,"英 [təˈdeɪ], 美 [təˈde]","adv.,n.","（在）今天；现在；现今；现代，当代,今天，今日；现代，当代；现今；",How are you feeling today?...,你今天感觉怎么样？,"I wanted him to come with us today, but he couldn't.",我想让他今天和我们一起来，但他来不了。,The United States is in a serious recession today…,当今美国正处于严重的衰退时期。
special,"英 [ˈspeʃl], 美 [ˈspɛʃəl]","adj.,n.","特殊的；专门的；专用的；重要的,专车；特价；特刊；特约稿,复数：
                                                            ","You're very special to me, darling...",亲爱的，你对我来说很重要。,There are strong arguments for holidays at Easter and Christmas because these are special occasions...,支持复活节和圣诞节放假是有充分论据的，因为这些节日都是特殊的时刻。,"In special cases, a husband can deduct the travel expenses of his wife who accompanies him on a business trip...",在特殊情况下，丈夫可以扣除陪同出差的妻子的旅费。
walk,"英 [wɔ:k], 美 [wɔk]","vt.& vi.,n.,vi.,vt.","走；步行；散步；,步行；步态；人行道；步行的路径,行走；陪伴…走；徒步旅行；不翼而飞,牵着（动物）走，遛，赶着…走；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Rosanna and Forbes walked in silence for some while...,罗莎娜和福布斯默不作声地走了一会儿。,We walked into the foyer...,我们走进门厅。,I went for a walk...,我去散步了。
teach,"英 [ti:tʃ], 美 [titʃ]","vt.,vi.","教；教导，训练；教授；,教书；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The trainers have a programme to teach them vocational skills...,培训师计划教他们一些职业技能。,George had taught him how to ride a horse...,乔治已经教会了他骑马。,Their daughter's death had taught him humility...,他们女儿的死使他学会了谦逊。
low,"英 [ləʊ], 美 [loʊ]","adj.,adv.,n.,vi.","低的，矮小的；楼下的，低洼的；沮丧的；下贱的,低声地；谦卑地；底下地；,低点；低水平；牛的叫声；,（牛）哞哞叫；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...the low garden wall that separated the front garden from next door...,把前花园和隔壁隔开的低矮的花园围墙,She put it down on the low table...,她把它放在了矮桌上。,He bumped his head on the low beams...,他的头碰到了低梁上。
hour,"英 [ˈaʊə(r)], 美 [aʊr]",n.,"小时，钟头；时间，时刻；固定时间；课时,复数：
                                                            ",They waited for about two hours...,他们等了约两小时。,I only slept about half an hour that night.,我那天晚上只睡了大约半个小时。,Getting there would take hours.,去那里要花很长时间。
type,"英 [taɪp], 美 [taɪp]","n.,vt.& vi.,vt.","类型；铅字；（印刷或打印的）文字；于…类型的,打字；,[医学]测定（血型）；按类型把…归类；成为…的典型；[印刷]浇铸（铅字等）,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",…several types of lettuce…,几个不同品种的莴苣,There are various types of the disease...,该疾病有各种类型。,Have you done this type of work before?...,你以前做过这种活儿吗？
carry,"英 [ˈkæri], 美 [ˈkæri]","vt.,vt.& vi.,vi.,n.","支撑；携带；输送；运载,运送；搬运；具有；,（文学、戏剧等）对读者；扔（或踢）到…距离；（马等）具有某种姿势；传得很远,（枪炮、火箭等的）射程；运输，运送；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He was carrying a briefcase...,他提着公文包。,He carried the plate through to the dining room...,他端着盘子来到餐厅。,You have to carry a bleeper so that they can call you in at any time.,"你要随身带着寻呼机,以便他们随时呼你。"
rate,"英 [reɪt], 美 [ret]","n.,vt.,vt.& vi.,vi.","速度；比率；等级；（利息等的）费率,估价；值得；责骂；定级,认为，把…算作；,被评价；被认为；被列入；申斥,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The rate at which hair grows can be agonisingly slow...,头发生长的速度可能极其缓慢。,The world's tropical forests are disappearing at an even faster rate than experts had thought.,世界上热带森林消失的速度比专家们预想的还要快。,New diet books appear at a rate of nearly one a week...,新的饮食类书籍差不多一周出一本。
remain,"英 [rɪˈmeɪn], 美 [rɪˈmen]","n.,vi.,vi.& link-v.","剩余物，残骸；残余；遗迹；遗体,留下；保持；留待；依然,搁置；剩余，剩下；逗留；终属，归于,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The three men remained silent...,这3个人保持着沉默。,The situation remains tense...,形势持续紧张。,He will have to remain in hospital for at least 10 days...,他至少得在医院里呆10天。
full,"英 [fʊl], 美 [fʊl]","adj.,adv.,n.,v.","满的，装满的；完全的，完整的；丰富的；详尽的,极其，十分；充分地，完全地；整整；直接地,充分，完全；全部；完整；极盛时,把衣服缝得宽大；把裙子缝出皱褶；[印]蒸洗，漂洗；","Once the container is full, it stays shut until you turn it clockwise.",容器一旦装满它会保持关闭，想要打开须按顺时针方向转动。,...a full tank of petrol.,一满箱汽油,The case was full of clothes...,箱子里塞满了衣服。
street,"英 [stri:t], 美 [strit]",n.,"大街，街道；,复数：
                                                            ",He lived at 66 Bingfield Street...,他住在宾菲尔德大街 66 号。,"Boppard is a small, quaint town with narrow streets.",博帕德是一个有着许多深巷窄道、古香古色的小镇。,Changing money on the street is illegal — always use a bank...,在街头兑换货币是违法的——无论何时都应该去银行。
easy,"英 [ˈi:zi], 美 [ˈizi]","adj.,adv.,vi.,vt.","容易的；舒适的；宽裕的；从容的,容易地；不费力地；悠闲地；缓慢地,停止划桨（常用作命令）；,向（水手或划手）发出停划命令；",The shower is easy to install...,这种淋浴器安装起来很简单。,It's easy to get a seat at the best shows in town...,很容易搞到城里顶级演出的票。,She is laughing and joking and making easy conversation with people she has never met before...,她谈笑风生，和那些素未谋面的人毫不拘束地聊着。
record,"英 [ˈrekɔ:d], 美 [ˈrekərd]","n.,vt.& vi.,adj.","记录，记载；档案，履历；唱片；最高纪录,记录，记载；标明；录音；,创纪录的；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Keep a record of all the payments...,所有付款都要作记录。,There's no record of any marriage or children...,没有任何有关婚姻或子女的记载。,...software packages which record the details of your photographs.,记录你的照片的各种细节的软件包
determine,"英 [dɪˈtɜ:mɪn], 美 [dɪˈtɜrmɪn]","vt.& vi.,vt.,vi.","（使）下决心，（使）做出决定；,决定，确定；判定，判决；使决定；限定,[主用于法律]了结，终止，结束；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The size of the chicken pieces will determine the cooking time...,鸡块的大小将决定烹饪时间的长短。,Social status is largely determined by the occupation of the main breadwinner...,社会地位很大程度上是由家里经济支柱的职业决定的。,The investigation will determine what really happened...,调查会查明到底发生了什么事情。
sit,"英 [sɪt], 美 [sit]","vt.& vi.,vi.,vt.","（使）坐；,坐落；处在；（在…中）任职；（议会、委员会、法庭等）开会,使就座；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Mother was sitting in her chair in the kitchen...,妈妈坐在厨房里的椅子上。,They sat there in shock and disbelief...,他们吃惊地坐在那里，不敢相信这是真的。,He set the cases against a wall and sat on them...,他把箱子靠墙放好，然后坐在上面。
sure,"英 [ʃʊə(r)], 美 [ʃʊr]","adj.,adv.","确信的，确实的；有把握的；无疑的；一定的,当然；确实地；无疑地；",He'd never been in a class before and he was not even sure that he should have been teaching...,他以前从未教过课，甚至不确定自己该不该教课。,The president has never been sure which direction he wanted to go in on this issue...,总统一直都不确定自己想从哪个方面来着手处理该问题。,A lot of people think that it's better to pay for their education so that they can be sure of getting quality...,许多人认为最好是接受付费教育，这样能确保教学质量。
level,"英 [ˈlevl], 美 [ˈlɛvəl]","n.,adj.,vt.,vi.,vi.","水平，水准；水平线，水平面；水平仪；[物]电平,水平的；同高度的；平均的；平稳的,使同等；对准；弄平；,拉平；（用枪等）瞄准（与 at 连用）；变得平坦；将（话、批评等）对准目标,瞄准；拉平；变得平坦；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","If you don't know your cholesterol level, it's a good idea to have it checked...",你要是不清楚自己的胆固醇水平，最好去检查一下。,Michael's roommate had been pleasant on a superficial level...,迈克尔的室友表面上还算友善。,The water level of the Mississippi River is already 6.5 feet below normal...,密西西比河的水位已经比正常值低了6.5英尺。
local,"英 [ˈləʊkl], 美 [ˈloʊkl]","adj.,n.","地方的；当地的，本地的；局部的；褊狭的,慢车；本地居民（律师、教士、医生）；住处附近的当地酒店；本地新闻,复数：
                                                            ",We'd better check on the match in the local paper...,我们最好在本地报纸上查一下这场比赛。,Some local residents joined the students' protest...,当地一些居民也加入了学生的抗议行列。,Education comprises two-thirds of all local council spending.,教育占地方市政会全部开支的三分之二。
although,"英 [ɔ:lˈðəu], 美 [ɔlˈðo]",conj.,尽管；虽然；但是；然而,"Although he is known to only a few, his reputation among them is very great...",虽然知道他的人不多，但他在这些人中名声却很响。,"Although the shooting has stopped for now, the destruction left behind is enormous.",虽然枪战目前已停止，但造成的破坏是巨大的。,"Although I was only six, I can remember seeing it on TV...",虽然那时我只有6岁，我依然记得在电视上见过它。
college,"英 [ˈkɒlɪdʒ], 美 [ˈkɑlɪdʒ]",n.,"大学；（英国）学院；学会；（尤指必须交费的）中学,复数：
                                                            ",Their daughter Joanna is doing business studies at a local college...,他们的女儿乔安娜在当地的一所学院念商科。,Stephanie took up making jewellery after leaving art college this summer...,斯蒂芬妮今年夏天离开艺术学院后开始从事珠宝制作。,"He was educated at Balliol College, Oxford.",他上的是牛津大学的贝利奥尔学院。
moment,"英 [ˈməʊmənt], 美 [ˈmoʊmənt]",n.,"瞬间，片刻；时刻；重要，紧要；[物]力矩,复数：
                                                            ",In a moment he was gone...,一转眼他就不见了。,"She stared at him a moment, then turned away...",她凝视他片刻，然后转过脸去。,At this moment a car stopped at the house...,就在这时，一辆轿车在房前停下了。
train,"英 [treɪn], 美 [tren]","n.,v.","火车；行列；一系列相关的事情； 拖裾,训练；教育；培养；修整,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The train pulled into a station...,列车驶入了一个车站。,We can catch the early morning train...,我们能赶上凌晨的火车。,In the old days this used to be done with a baggage train of camels.,在过去，这往往由一队驮载行李的骆驼完成。
thus,"英 [ðʌs], 美 [ðʌs]","adv.,conj.","于是，因此；如此，这样，像这样，例如；到这程度，到这地步，这么；如下,因此；",Neither of them thought of turning on the lunch-time news. Thus Caroline didn't hear of John's death until Peter telephoned...,两个人谁也没有想到打开电视看午间新闻，所以直到彼得打来电话，卡罗琳才得知约翰的死讯。,Even in a highly skilled workforce some people will be more capable and thus better paid than others.,就算是在技术高度熟练的劳动者中，也会有人能力更强，因此，薪水也就更高。,"Joanna was pouring the drink. While she was thus engaged, Charles sat on one of the bar-stools...",乔安娜正在倒酒。就在她正忙的当儿，查尔斯坐在了一张酒吧凳子上。
religion,"英 [rɪˈlɪdʒən], 美 [rɪˈlɪdʒən]",n.,"宗教；支配自己生活的大事；教派；心爱的事物,复数：
                                                            ",...his understanding of Indian philosophy and religion...,他对印度哲学和宗教信仰的理解,"Do avoid potentially contentious subjects such as religion, sex or politics.",一定要避免可能引起争议的话题，如宗教、性和政治。,...the Christian religion.,基督教
perhaps,"英 [pəˈhæps], 美 [pərˈhæps]","adv.,n.","或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许,假定；猜想；未定之事；,复数：
                                                            ",Millson regarded her thoughtfully. Perhaps she was right...,米尔森若有所思地注视着她。或许她是对的。,"In the end they lose millions, perhaps billions...",最后他们输掉几百万，或许是几十亿。,Perhaps the most important lesson to be learned is that you simply cannot please everyone...,也许最应吸取的教训就是懂得众口难调。
receive,"英 [rɪˈsi:v], 美 [rɪˈsiv]","vt.& vi.,vt.,vi.","收到；接到；接纳；接待,接收；受理；欢迎；承受,接到，获得；接见，欢迎；[电子学] 接收；[橄榄球] 接球,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",They will receive their awards at a ceremony in Stockholm...,他们会在斯德哥尔摩举行的仪式上接受颁奖。,I received your letter of November 7.,我收到了你11月7日的来信。,He received more of the blame than anyone when the plan failed to work...,计划失败后，他受到了比别人更多的指责。
spirit,"英 [ˈspɪrɪt], 美 [ˈspɪrɪt]","n.,v.","精神，心灵；情绪；勇气；精髓,神秘地带走；,复数：
                                                            过去式：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The human spirit is virtually indestructible...,人的精神实际上是不可摧毁的。,"Marian retains a restless, youthful spirit, in search of new horizons.",玛丽安怀着一颗年轻、不断进取的心去寻求新的天地。,His spirit has left him and all that remains is the shell of his body.,他已灵魂出窍，剩下的只是他的躯壳。
grow,"英 [grəʊ], 美 [groʊ]","vt.,vi.,vt.& vi.","种植；扩大；扩展；增加,生长；渐渐变得；逐渐开始；,（使）留长，蓄长；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",We stop growing at maturity.,我们成年之后不再长个儿。,The station had roses growing at each end of the platform.,车站月台的两头种着玫瑰花。,I always grow a few red onions...,我总是喜欢种一些红洋葱。
music,"英 [ˈmju:zɪk], 美 [ˈmjuzɪk]",n.,音乐；乐曲；乐谱；乐队,...classical music.,古典音乐,...the music of George Gershwin.,乔治·格什温的音乐作品,"He went on to study music, specialising in the clarinet.",他继续学习音乐，主攻单簧管。
serve,"英 [sɜ:v], 美 [sɜrv]","vt.& vi.,vt.,vi.,n.","（为…）服务；任（职）；提供；端上,招待；（为…）工作；对…有用；向…供应,适合；服役；供职；[网球、羽毛球]发球,网球等发球；发球权；所发的球；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",It is unfair to soldiers who have served their country well for many years...,这对那些为国效忠多年的士兵们来说是不公平的。,I have always said that I would serve the Party in any way it felt appropriate.,我一直说，只要需要，我愿意为党效力，不管以何种方式。,During the second world war he served with RAF Coastal Command...,二战期间他在英国皇家空军海防总队服役。
book,"英 [bʊk], 美 [bʊk]","n.,vt.& vi.,vt.,adj.","书；卷；课本；账簿,预订；,登记；（向旅馆、饭店、戏院等）预约；立案（控告某人）；订立演出契约,书的；账簿上的；得之（或来自）书本的；按照（或依据）书本的,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",His eighth book came out earlier this year and was an instant best-seller...,他的第8本书在今年早些时候面世，迅速成为了畅销书。,'Robinson Crusoe' is one of the most famous books in the world.,《鲁宾逊漂流记》是一本世界名著。,Can I have a book of first class stamps please?,请给我一板第一类邮件的邮票好吗？
free,"英 [fri:], 美 [fri]","adj.,adv.,vt.","自由的；免费的；免税的；空闲的,免费地；自由地，无拘束地；一帆风顺地；,免除；释放；使自由；解救,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","The seminars are free, with lunch provided.",研讨会不收会务费，而且还提供午餐。,...a free brochure with details of gift vouchers.,内有礼券详情的免费宣传册,The government will be free to pursue its economic policies...,政府将可不受限制地实行其经济政策。
cause,"英 [kɔ:z], 美 [kɔz]","n.,vt.","原因；动机；理由；事业,成为…的原因；导致；引起；使遭受,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Smoking is the biggest preventable cause of death and disease...,在可以预防的引发死亡和疾病的因素当中，吸烟排在第一位。,The causes are a complex blend of local and national tensions.,原因很复杂，既有地方性冲突也有全国范围的紧张局势。,Attempts to limit family size among some minorities are likely to cause problems...,试图在某些少数民族地区限制生育可能会引起问题。
board,"英 [bɔ:d], 美 [bɔrd]","n.,vt.,vi.","板；董事会；甲板；膳食,上（船、车或飞机）；收费供…膳宿；使搭伙，使寄宿；强行登（船）,（火车、轮船、飞机等）接受乘客；搭伙，寄宿；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...a chopping board.,砧板,...a draughts board...,跳棋棋盘,Dr Tinsley had five pieces on the board against Chinook's four.,廷斯利博士在棋盘上还有5枚棋子，对手钦诺克还有4枚。
age,"英 [eɪdʒ], 美 [edʒ]","n.,vt.& vi.,vi.,vt.","年龄；时代；老年；年龄段,（使）长大；使显老；使变老；使苍老,[化学]老化；陈化，熟化；（吸毒者随年龄增长而主动）戒毒，戒除毒品；,[化学]使老化；使陈化；使熟化；估计，推测（马的年龄）,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She has a nephew who is just ten years of age...,她有一个才10岁的侄子。,At the age of sixteen he qualified for a place at the University of Hamburg...,16岁时，他就有资格进入汉堡大学。,Everything in the room looks in keeping with the age of the building.,房间里的一切看起来都与这栋建筑物的存在年头很相称。
office,"英 [ˈɒfɪs], 美 [ˈɔfɪs]",n.,"办公室；办公楼；问询处；重要官职,复数：
                                                            ","He had an office big enough for his desk and chair, plus his VDU...",他有一间足以容纳书桌、椅子和视频显示器的办公室。,At about 4.30 p.m. Audrey arrived at the office...,大约下午4点30分，奥德丽到了办公室。,Thousands have registered with unemployment offices.,已有数千人在失业管理处作了登记。
recent,"英 [ˈri:snt], 美 [ˈrisənt]",adj.,最近的；新近的；近代的；[地]全新世的,In the most recent attack one man was shot dead and two others were wounded...,在最近的一次袭击中，一名男子遇袭身亡，另外两人受伤。,Sales have fallen by more than 75 percent in recent years.,近几年来销售额下降了75%以上。,,
